name,address,tinNumber,taxClass,code,principal,terms,remark,active
Visayan Hardware Corporation,"526 Lavezares St., Brgy. 281 Zone 26 Dist.111, Tondo, Manila",000-320-521-000,vat,Visayan,,,,
VRMC Marketing,"Lot 36 Blk. 1 Maragtas St., Bagong Bayan, Cutcut, Angeles City",221-779-598-001,vat,VRMC,crooley food,15 days,,
Wing-An Marketing Incorporated,"Sta. Teresita, City San Fernando , Pampanga",005-308-674-000,vat,Wing-An,SC Johnson,15 days,,
Zesto Corporation,"Brgy. Calulut City Of San Fernando, Pampanga",002-133-989-008,vat,Zest-O,,30 days,,
Zuellig Pharma Corporation,"Calubang Distr, Rd. Pittland  Cabuyao, Laguna",000-172-443-010,vat,ZPC Beta,,30 days,,
Zuellig Pharma Corporation,"Km 21 West Service Rd., Villonco Rd, Sucat, Muntinlupa City",000-172-443-011,vat,ZPC Lysol,,30 days,,
Zuellig Pharma Corporation,"H.R Capistrano St., Brgy, Ibayo, Tipas Taguig 1637     ",000-172-443-00026,vat,ZPC Lactacyd,,30 days,,
Atlas Sales And Distribution Inc.,"San Juan Nepomucena, Betis, Guagua, Pampanga",010-155-305-000,vat,,,,,
Mr Shine Food Products,"12th Ave., Unisite Subd, Del Pilar, San Fernando, Pampanga",154-026-039-000,vat,,,,,
"PUREGOLD DUTY FREE SUBIC, INC","FORMER K.O.G RIZAL AVE., ARGONAUT HIGHWAY, SBFZ",204-137-024-000,nonvat,,,,,
